w,i_vggish,i_spectrum,i_speechvgg,mark_speechvgg,mark_vggish,mark_spectrum,ico_2017,ico_2022,length,iconicity_mean,humor,sensory,sensory_sound,sensory_d2,conc,freq,cd,aoa
destruction,0.4667218923568725,-0.2938360273838043,-0.2625904560262468,0.2732754634751904,0.8686222,0.67628217,,,11,-0.029901530351059562,,,3.714,,3.21,2.7694,447,7.62
announcement,0.4661751091480255,0.1841312050819397,-0.1963824545135279,0.37623765057460384,0.836454,0.8084816,,,12,0.15130795323881244,,,4.611,,2.79,2.721,440,7.75
beeper,0.4658229947090149,-0.4105605781078338,-0.0107675159850719,0.2895079342795253,0.8681501,0.78330576,,5.7,6,0.014831633538703056,,,3.864,,4.77,2.1614,74,10.61
rhythm,0.4634387195110321,-0.3557410836219787,-0.0512961808518369,0.40060734854981245,0.8831499,0.85950506,1.384615385,3.9,6,0.0188004850124055,2.382352941,,4.0,4.18,3.07,2.7459,333,7.16
doorbell,0.4620643258094787,0.6689571142196655,-0.1921125269054161,0.40802416815134984,0.87823486,0.85174185,,4.4,8,0.31296963770790936,2.193548387,,4.706,,4.82,2.6294,269,5.05
song,0.4614591002464294,-0.4233669638633728,-0.203906524449932,0.31478638268745995,0.9035659,0.86489874,-0.3,3.4,4,-0.05527146268895846,2.0,,4.889,4.4,4.46,3.6793,1946,4.26
reggae,0.460143506526947,0.0551096573472023,-0.0441434662056907,0.36403533425989865,0.88316,0.8158005,,4.1,6,0.1570365658894862,2.432432432,,4.467,4.0,3.41,1.699,26,11.56
chatter,0.4591473042964935,-0.5231141448020935,-0.1962790096569567,0.3841966473816783,0.865077,0.83010674,,,7,-0.08674861672085223,2.756756757,,4.722,,3.33,2.3784,185,7.56
thunderstorm,0.4585247635841369,0.0253978036344051,-0.2246974107756273,0.26582384858600716,0.8724096,0.49561045,,5.142857142857143,12,0.08640838548097157,,,3.9,,4.83,1.5185,30,7.0
joke,0.458510547876358,-0.4015750288963318,-0.1297586616269175,0.37134888017658463,0.89750427,0.8130558,0.545454545,4.3,4,-0.02427438088229711,3.638888889,,4.632,,2.9,3.5711,2158,5.2
cluck,0.4577357172966003,-0.4232110977172851,0.017538458021929,0.35208421187384026,0.82052886,0.8016706,,5.454545454545454,5,0.017354359200414726,,,4.455,3.0,3.33,1.8692,39,5.22
pager,0.4576729834079742,0.2430246621370315,-0.0189794149809747,0.2549416901633409,0.8666763,0.8222563,,3.3,5,0.22723941018801033,,,3.647,,4.57,2.1703,107,10.11
parade,0.4554218649864197,-0.1998618841171264,-0.2384784057424724,0.39308901672485924,0.8707219,0.83422196,0.5,3.8,6,0.005693858375606949,2.575757576,,3.632,4.2,4.54,2.8182,421,6.53
barking,0.4536973834037781,0.8637005090713501,0.0168804341210506,0.36478167214840623,0.8805069,0.85227865,3.333333333,,7,0.44475944219872626,,,5.0,,4.19,2.6628,258,
train,0.4532586634159088,-0.5797740817070007,-0.2463169639854666,0.40358831969498354,0.87563175,0.82273895,-0.090909091,2.3,5,-0.12427746075885282,2.166666667,2.29,4.211,4.45,4.79,3.6857,1760,4.0
woodpecker,0.4528972804546356,-0.1664946377277374,-0.0191335124699989,0.2824951990337066,0.8503644,0.70884866,2.8,,10,0.08908971008563311,,1.41,3.667,,4.93,1.7076,22,6.5
conversation,0.4520609080791473,0.1875751316547393,0.0307042731268385,0.178213819738775,0.8360543,0.35255644,,,12,0.223446770953575,,,4.533,,3.28,3.4055,1789,7.79
cymbal,0.451515793800354,0.1369184702634811,-0.1524856583796944,0.334030400945156,0.88482916,0.861858,,,6,0.1453162018947136,,,3.758,,4.92,1.1461,11,9.94
sizzle,0.4495566189289093,-0.0766125470399856,-0.1395177549600112,0.3668874880318063,0.85514545,0.83529663,3.818181818,,6,0.0778087723096375,,,4.059,4.09,3.48,1.5185,28,8.16
notification,0.4465633928775787,0.6898581385612488,-0.1021813775244889,0.2564462943136884,0.8736877,0.7129529,,,12,0.34474671797144624,,,3.778,,3.34,1.5051,28,9.44
